County	Election Date	Precinct	Contest Group ID	Contest Type	Contest Name	Choice	Choice Party	Vote For	Election Day	One Stop	Absentee by Mail	Provisional	Total Votes	Real Precinct	
ALAMANCE	11/06/2018	064	1228	S	NC COURT OF APPEALS JUDGE SEAT 3	Michael Monaco, Sr.	LIB	1	59	65	2	1	127	Y	
ALAMANCE	11/06/2018	03N	1228	S	NC COURT OF APPEALS JUDGE SEAT 3	Michael Monaco, Sr.	LIB	1	59	38	1	0	98	Y	
ALAMANCE	11/06/2018	03S	1228	S	NC COURT OF APPEALS JUDGE SEAT 3	Michael Monaco, Sr.	LIB	1	106	108	0	3	217	Y	
ALAMANCE	11/06/2018	04	1228	S	NC COURT OF APPEALS JUDGE SEAT 3	Michael Monaco, Sr.	LIB	1	67	38	1	0	106	Y	
ALAMANCE	11/06/2018	035	1228	S	NC COURT OF APPEALS JUDGE SEAT 3	Michael Monaco, Sr.	LIB	1	73	54	1	1	129	Y	
ALAMANCE	11/06/2018	07	1228	S	NC COURT OF APPEALS JUDGE SEAT 3	Michael Monaco, Sr.	LIB	1	43	33	2	0	78	Y	
ALAMANCE	11/06/2018	09S	1228	S	NC COURT OF APPEALS JUDGE SEAT 3	Michael Monaco, Sr.	LIB	1	83	59	2	0	144	Y	
ALAMANCE	11/06/2018	12S	1228	S	NC COURT OF APPEALS JUDGE SEAT 3	Michael Monaco, Sr.	LIB	1	15	5	0	0	20	Y	
ALAMANCE	11/06/2018	03N2	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	217	81	18	0	316	Y	
ALAMANCE	11/06/2018	03W	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	459	538	20	2	1019	Y	
ALAMANCE	11/06/2018	01	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	392	409	23	5	829	Y	
ALAMANCE	11/06/2018	103	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	283	572	21	11	887	Y	
ALAMANCE	11/06/2018	1210	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	320	314	16	6	656	Y	
ALAMANCE	11/06/2018	063	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	400	434	13	7	854	Y	
ALAMANCE	11/06/2018	127	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	654	650	25	8	1337	Y	
ALAMANCE	11/06/2018	125	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	341	381	11	4	737	Y	
ALAMANCE	11/06/2018	10S	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	868	2013	41	17	2939	Y	
ALAMANCE	11/06/2018	06N	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	333	383	4	13	733	Y	
ALAMANCE	11/06/2018	06S	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	365	571	33	1	970	Y	
ALAMANCE	11/06/2018	11	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	508	687	17	8	1220	Y	
ALAMANCE	11/06/2018	03S	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	810	1461	63	11	2345	Y	
ALAMANCE	11/06/2018	06W	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	166	171	3	3	343	Y	
ALAMANCE	11/06/2018	08S	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	223	181	14	3	421	Y	
ALAMANCE	11/06/2018	08N	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	425	410	21	5	861	Y	
ALAMANCE	11/06/2018	02	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	496	513	22	0	1031	Y	
ALAMANCE	11/06/2018	035	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	551	695	32	4	1282	Y	
ALAMANCE	11/06/2018	05	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	392	360	19	1	772	Y	
ALAMANCE	11/06/2018	10N	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	427	827	22	8	1284	Y	
ALAMANCE	11/06/2018	09S	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	618	778	36	9	1441	Y	
ALAMANCE	11/06/2018	06E	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	320	482	15	2	819	Y	
ALAMANCE	11/06/2018	12W	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	411	389	32	5	837	Y	
ALAMANCE	11/06/2018	13	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	576	616	12	1	1205	Y	
ALAMANCE	11/06/2018	128	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	274	299	21	1	595	Y	
ALAMANCE	11/06/2018	03N	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	496	610	61	2	1169	Y	
ALAMANCE	11/06/2018	12S	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	212	158	6	4	380	Y	
ALAMANCE	11/06/2018	064	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	542	931	34	4	1511	Y	
ALAMANCE	11/06/2018	09N	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	381	451	11	11	854	Y	
ALAMANCE	11/06/2018	03C	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	406	649	39	5	1099	Y	
ALAMANCE	11/06/2018	126	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	338	439	30	3	810	Y	
ALAMANCE	11/06/2018	129	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	280	352	19	2	653	Y	
ALAMANCE	11/06/2018	124	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	310	372	14	4	700	Y	
ALAMANCE	11/06/2018	12E	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	207	223	9	0	439	Y	
ALAMANCE	11/06/2018	12N	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	632	528	39	7	1206	Y	
ALAMANCE	11/06/2018	07	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	381	499	14	1	895	Y	
ALAMANCE	11/06/2018	04	1273	S	NC DISTRICT COURT JUDGE DISTRICT 15A SEAT 1	Brad Allen	DEM	1	615	567	13	4	1199	Y	
ALAMANCE	11/06/2018	08N	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	434	415	23	4	876	Y	
ALAMANCE	11/06/2018	08S	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	244	195	14	3	456	Y	
ALAMANCE	11/06/2018	06W	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	177	181	3	2	363	Y	
ALAMANCE	11/06/2018	13	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	584	650	12	1	1247	Y	
ALAMANCE	11/06/2018	12W	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	458	439	33	5	935	Y	
ALAMANCE	11/06/2018	10N	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	438	871	25	8	1342	Y	
ALAMANCE	11/06/2018	03W	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	470	560	21	2	1053	Y	
ALAMANCE	11/06/2018	09S	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	620	783	38	9	1450	Y	
ALAMANCE	11/06/2018	127	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	698	703	25	8	1434	Y	
ALAMANCE	11/06/2018	05	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	405	364	17	1	787	Y	
ALAMANCE	11/06/2018	02	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	502	531	22	0	1055	Y	
ALAMANCE	11/06/2018	12N	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	675	554	38	9	1276	Y	
ALAMANCE	11/06/2018	103	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	279	597	21	10	907	Y	
ALAMANCE	11/06/2018	10S	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	881	2065	42	20	3008	Y	
ALAMANCE	11/06/2018	1210	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	339	326	14	6	685	Y	
ALAMANCE	11/06/2018	12E	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	215	235	10	0	460	Y	
ALAMANCE	11/06/2018	03N2	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	256	94	18	0	368	Y	
ALAMANCE	11/06/2018	06E	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	329	504	16	2	851	Y	
ALAMANCE	11/06/2018	06S	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	362	582	30	1	975	Y	
ALAMANCE	11/06/2018	06N	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	352	401	4	13	770	Y	
ALAMANCE	11/06/2018	11	1360	S	NC SUPERIOR COURT JUDGE DISTRICT 15A SEAT 1	Tom Lambeth	DEM	1	517	721	17	9	1264	Y	
