County	Election Date	Precinct	Contest Group ID	Contest Type	Contest Name	Choice	Choice Party	Vote For	Election Day	One Stop	Absentee by Mail	Provisional	Total Votes	Real Precinct	
CLEVELAND	11/08/2022	LATT	1363	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 05	Sam J. Ervin IV	DEM	1	113	163	6	2	284	Y	
CLEVELAND	11/08/2022	LAWNDL	5	C	CLEVELAND SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Rob Watts (Write-In)		2	0	0	0	0	0	Y	
CLEVELAND	11/08/2022	MRB-YO	2	C	CLEVELAND COUNTY BOARD OF EDUCATION	Meghan Hoppes	DEM	4	64	74	4	0	142	Y	
CLEVELAND	11/08/2022	MRB-YO	1041	S	NC COURT OF APPEALS JUDGE SEAT 10	John M. Tyson	REP	1	392	284	5	1	682	Y	
CLEVELAND	11/08/2022	MRB-YO	1325	S	NC STATE SENATE DISTRICT 44	Ted Alexander	REP	1	413	316	7	1	737	Y	
CLEVELAND	11/08/2022	MULLS	2	C	CLEVELAND COUNTY BOARD OF EDUCATION	Coleman Hunt	DEM	4	125	47	7	0	179	Y	
CLEVELAND	11/08/2022	MULLS	2	C	CLEVELAND COUNTY BOARD OF EDUCATION	Ronnie Grigg	REP	4	611	146	6	2	765	Y	
CLEVELAND	11/08/2022	MULLS	4	C	CLEVELAND COUNTY SHERIFF	Alan Norman	REP	1	794	192	10	3	999	Y	
CLEVELAND	11/08/2022	OAKGRV	3	C	CLEVELAND COUNTY CLERK OF SUPERIOR COURT	Lacey Ingle Ange	REP	1	958	649	32	7	1646	Y	
CLEVELAND	11/08/2022	OAKGRV	1039	S	NC COURT OF APPEALS JUDGE SEAT 08	Julee Tate Flood	REP	1	900	584	22	7	1513	Y	
CLEVELAND	11/08/2022	OAKGRV	1362	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 03	Richard Dietz	REP	1	893	589	21	7	1510	Y	
CLEVELAND	11/08/2022	OAKGRV	1373	S	US HOUSE OF REPRESENTATIVES DISTRICT 10	Patrick McHenry	REP	1	915	596	24	7	1542	Y	
CLEVELAND	11/08/2022	POLKVL	2	C	CLEVELAND COUNTY BOARD OF EDUCATION	Aaron Bridges	REP	4	632	254	9	2	897	Y	
CLEVELAND	11/08/2022	POLKVL	1363	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 05	Trey Allen	REP	1	715	293	9	3	1020	Y	
CLEVELAND	11/08/2022	RIPPY	6	C	CLEVELAND COUNTY LOCAL SALES AND USE TAX REFERENDUM	For	 	1	166	129	4	0	299	Y	
CLEVELAND	11/08/2022	RIPPY	1373	S	US HOUSE OF REPRESENTATIVES DISTRICT 10	Patrick McHenry	REP	1	772	444	13	4	1233	Y	
CLEVELAND	11/08/2022	RIPPY	1378	S	US SENATE	Cheri Beasley	DEM	1	197	262	19	0	478	Y	
CLEVELAND	11/08/2022	RIPPY	1378	S	US SENATE	Matthew Hoh	GRE	1	9	4	0	0	13	Y	
CLEVELAND	11/08/2022	S 4A	1034	S	DISTRICT ATTORNEY DISTRICT 39	Mike Miller	REP	1	656	754	28	4	1442	Y	
CLEVELAND	11/08/2022	S 4A	1039	S	NC COURT OF APPEALS JUDGE SEAT 08	Carolyn Jennings Thompson	DEM	1	327	656	45	3	1031	Y	
CLEVELAND	11/08/2022	S 5	1	C	CLEVELAND COUNTY BOARD OF COMMISSIONERS	Deb Hardin	REP	2	287	413	28	0	728	Y	
CUMBERLAND	11/08/2022	CU02	1372	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Richard Hudson	REP	1	239	96	6	0	341	Y	
CUMBERLAND	11/08/2022	EO01	5	C	CUMBERLAND COUNTY BOARD OF EDUCATION AT-LARGE	Donnie Griffin (Write-In)		3	0	0	0	0	0	Y	
CUMBERLAND	11/08/2022	EO01	5	C	CUMBERLAND COUNTY BOARD OF EDUCATION AT-LARGE	Frances Jackson (Write-In)		3	0	0	0	0	0	Y	
CUMBERLAND	11/08/2022	EO01	6	C	CUMBERLAND SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Lena Simmons (Write-In)		2	0	0	0	0	0	Y	
CUMBERLAND	11/08/2022	EO01	10	C	CITY OF FAYETTEVILLE CHARTER AMENDMENT REFERENDUM	Yes	 	1	14	18	1	0	33	Y	
CUMBERLAND	11/08/2022	EO01	1071	S	NC DISTRICT COURT JUDGE DISTRICT 12 SEAT 01	Toni S. King	DEM	1	350	475	25	1	851	Y	
CUMBERLAND	11/08/2022	EO01	1075	S	NC DISTRICT COURT JUDGE DISTRICT 12 SEAT 05	Cheri Siler-Mack	DEM	1	338	458	25	1	822	Y	
CUMBERLAND	11/08/2022	EO01	1363	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 05	Trey Allen	REP	1	605	455	10	1	1071	Y	
CUMBERLAND	11/08/2022	EO02	1039	S	NC COURT OF APPEALS JUDGE SEAT 08	Julee Tate Flood	REP	1	330	358	4	0	692	Y	
CUMBERLAND	11/08/2022	EO02	1077	S	NC DISTRICT COURT JUDGE DISTRICT 12 SEAT 07	Caitlin Evans	DEM	1	201	352	11	1	565	Y	
CUMBERLAND	11/08/2022	G10A	1	C	CUMBERLAND COUNTY BOARD OF COMMISSIONERS AT-LARGE	Veronica B. Jones	DEM	2	247	716	92	0	1055	Y	
CUMBERLAND	11/08/2022	G10A	5	C	CUMBERLAND COUNTY BOARD OF EDUCATION AT-LARGE	Frances Jackson (Write-In)		3	0	0	0	0	0	Y	
CUMBERLAND	11/08/2022	G10A	1071	S	NC DISTRICT COURT JUDGE DISTRICT 12 SEAT 01	Toni S. King	DEM	1	374	955	104	0	1433	Y	
CUMBERLAND	11/08/2022	G10A	1300	S	NC STATE SENATE DISTRICT 19	Val Applewhite	DEM	1	288	812	98	0	1198	Y	
CUMBERLAND	11/08/2022	G10B	5	C	CUMBERLAND COUNTY BOARD OF EDUCATION AT-LARGE	Jacquelyn Brown	 	3	186	250	20	0	456	Y	
CUMBERLAND	11/08/2022	G10C	8	C	CITY OF FAYETTEVILLE CONNECTIVITY IMPROVEMENT BONDS	No	 	1	46	102	5	1	154	Y	
CUMBERLAND	11/08/2022	G11B	5	C	CUMBERLAND COUNTY BOARD OF EDUCATION AT-LARGE	John Ornelas	 	3	35	47	5	0	87	Y	
CUMBERLAND	11/08/2022	G11B	1362	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 03	Richard Dietz	REP	1	101	83	18	1	203	Y	
CUMBERLAND	11/08/2022	G1A	5	C	CUMBERLAND COUNTY BOARD OF EDUCATION AT-LARGE	John Ornelas	 	3	44	47	4	0	95	Y	
CUMBERLAND	11/08/2022	G1A	6	C	CUMBERLAND SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Ellison L. Ellison	 	2	147	171	13	1	332	Y	
CUMBERLAND	11/08/2022	G1A	1039	S	NC COURT OF APPEALS JUDGE SEAT 08	Julee Tate Flood	REP	1	127	147	1	1	276	Y	
CUMBERLAND	11/08/2022	G1A	1077	S	NC DISTRICT COURT JUDGE DISTRICT 12 SEAT 07	Caitlin Evans	DEM	1	273	278	21	0	572	Y	
CUMBERLAND	11/08/2022	G1A	1362	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 03	Richard Dietz	REP	1	129	150	2	1	282	Y	
CUMBERLAND	11/08/2022	G1A	1378	S	US SENATE	Cheri Beasley	DEM	1	239	259	20	0	518	Y	
CUMBERLAND	11/08/2022	G1B	1	C	CUMBERLAND COUNTY BOARD OF COMMISSIONERS AT-LARGE	Marshall Faircloth	DEM	2	195	529	40	0	764	Y	
CUMBERLAND	11/08/2022	G1B	4	C	CUMBERLAND COUNTY SHERIFF	Ennis W. Wright	DEM	1	282	649	48	0	979	Y	
CUMBERLAND	11/08/2022	G1B	9	C	CITY OF FAYETTEVILLE HOUSING BONDS	Yes	 	1	2	10	0	0	12	Y	
CUMBERLAND	11/08/2022	G1B	10	C	CITY OF FAYETTEVILLE CHARTER AMENDMENT REFERENDUM	Yes	 	1	1	6	0	0	7	Y	
CUMBERLAND	11/08/2022	G1B	1370	S	US HOUSE OF REPRESENTATIVES DISTRICT 07	Charles Graham	DEM	1	212	568	46	0	826	Y	
CUMBERLAND	11/08/2022	G2A	2	C	CUMBERLAND COUNTY BOARD OF COMMISSIONERS DISTRICT 01	Jeannette Council	DEM	2	342	950	71	0	1363	Y	
CUMBERLAND	11/08/2022	G2A	5	C	CUMBERLAND COUNTY BOARD OF EDUCATION AT-LARGE	Charles McKellar	 	3	161	478	26	0	665	Y	
CUMBERLAND	11/08/2022	G2A	5	C	CUMBERLAND COUNTY BOARD OF EDUCATION AT-LARGE	Donnie Griffin (Write-In)		3	0	0	0	0	0	Y	
CUMBERLAND	11/08/2022	G2A	6	C	CUMBERLAND SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Monique McMillan	 	2	308	789	50	0	1147	Y	
CUMBERLAND	11/08/2022	G2A	1075	S	NC DISTRICT COURT JUDGE DISTRICT 12 SEAT 05	Cheri Siler-Mack	DEM	1	445	1098	73	0	1616	Y	
CUMBERLAND	11/08/2022	G2C-1	5	C	CUMBERLAND COUNTY BOARD OF EDUCATION AT-LARGE	Write-In (Miscellaneous)		3	3	7	0	0	10	Y	
CUMBERLAND	11/08/2022	G2C-1	6	C	CUMBERLAND SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Lincoln M Haire (Write-In)		2	0	0	0	0	0	Y	
CUMBERLAND	11/08/2022	G2C-1	1372	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Richard Hudson	REP	1	203	301	17	0	521	Y	
CUMBERLAND	11/08/2022	G2C-1	1378	S	US SENATE	Ted Budd	REP	1	184	288	16	1	489	Y	
CUMBERLAND	11/08/2022	G2E-1	2	C	CUMBERLAND COUNTY BOARD OF COMMISSIONERS DISTRICT 01	Glenn B. Adams	DEM	2	160	330	28	2	520	Y	
CUMBERLAND	11/08/2022	G2E-1	5	C	CUMBERLAND COUNTY BOARD OF EDUCATION AT-LARGE	Jacquelyn Brown	 	3	102	234	12	2	350	Y	
CUMBERLAND	11/08/2022	G2E-1	6	C	CUMBERLAND SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Henry Tyson (Write-In)		2	0	0	0	0	0	Y	
CUMBERLAND	11/08/2022	G2E-1	8	C	CITY OF FAYETTEVILLE CONNECTIVITY IMPROVEMENT BONDS	Yes	 	1	105	261	19	3	388	Y	
CUMBERLAND	11/08/2022	G2E-2	3	C	CUMBERLAND COUNTY CLERK OF SUPERIOR COURT	Lisa A. Scales	DEM	1	274	512	24	1	811	Y	
CARTERET	11/08/2022	ASCI	1362	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 03	Lucy Inman	DEM	1	63	32	3	1	99	Y	
CARTERET	11/08/2022	ASCI	1378	S	US SENATE	Cheri Beasley	DEM	1	59	33	3	0	95	Y	
CARTERET	11/08/2022	BCRK	1040	S	NC COURT OF APPEALS JUDGE SEAT 09	Brad A. Salmon	DEM	1	71	134	10	2	217	Y	
CARTERET	11/08/2022	BCRK	1378	S	US SENATE	Cheri Beasley	DEM	1	66	141	9	1	217	Y	
CARTERET	11/08/2022	BCRK	1378	S	US SENATE	Matthew Hoh	GRE	1	7	3	1	1	12	Y	
CARTERET	11/08/2022	BFT1	6	C	CARTERET COUNTY BOARD OF EDUCATION DISTRICT 03	Clark Jenkins	REP	1	158	313	16	1	488	Y	
CARTERET	11/08/2022	BFT1	1378	S	US SENATE	Shannon W. Bray	LIB	1	8	3	1	0	12	Y	
CARTERET	11/08/2022	BFT2	1040	S	NC COURT OF APPEALS JUDGE SEAT 09	Donna Stroud	REP	1	448	885	19	1	1353	Y	
CARTERET	11/08/2022	BFT2	1042	S	NC COURT OF APPEALS JUDGE SEAT 11	Michael J. Stading	REP	1	448	858	19	1	1326	Y	
CARTERET	11/08/2022	BFT2	1366	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Greg Murphy	REP	1	459	891	19	1	1370	Y	
CARTERET	11/08/2022	BOGU	9	C	CARTERET COUNTY CLERK OF SUPERIOR COURT	Ken Raper	REP	1	758	772	35	5	1570	Y	
CARTERET	11/08/2022	BOGU	12	C	CARTERET SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Dennis Collins	 	2	531	613	34	4	1182	Y	
CARTERET	11/08/2022	BOGU	1042	S	NC COURT OF APPEALS JUDGE SEAT 11	Darren Jackson	DEM	1	135	210	18	2	365	Y	
CARTERET	11/08/2022	CCCP	1040	S	NC COURT OF APPEALS JUDGE SEAT 09	Brad A. Salmon	DEM	1	109	287	33	0	429	Y	
CARTERET	11/08/2022	CCCP	1041	S	NC COURT OF APPEALS JUDGE SEAT 10	John M. Tyson	REP	1	625	1057	25	2	1709	Y	
CARTERET	11/08/2022	CCCP	1378	S	US SENATE	Matthew Hoh	GRE	1	5	6	1	0	12	Y	
CARTERET	11/08/2022	DASW	1174	S	NC HOUSE OF REPRESENTATIVES DISTRICT 013	Katie Tomberlin	DEM	1	35	23	7	0	65	Y	
CARTERET	11/08/2022	DASW	1363	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 05	Sam J. Ervin IV	DEM	1	41	23	8	0	72	Y	
CARTERET	11/08/2022	EMIS	1040	S	NC COURT OF APPEALS JUDGE SEAT 09	Donna Stroud	REP	1	795	1078	37	2	1912	Y	
CARTERET	11/08/2022	EMIS	1378	S	US SENATE	Ted Budd	REP	1	755	1029	36	2	1822	Y	
CARTERET	11/08/2022	HAIS	2	C	CARTERET COUNTY BOARD OF COMMISSIONERS DISTRICT 02	Chuck Shinn	REP	1	312	222	11	5	550	Y	
CARTERET	11/08/2022	HAIS	12	C	CARTERET SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	L.M. (Mickey) Simmons	 	2	202	168	10	2	382	Y	
CARTERET	11/08/2022	HAIS	12	C	CARTERET SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Write-In (Miscellaneous)		2	9	8	0	0	17	Y	
CARTERET	11/08/2022	HAIS	1362	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 03	Richard Dietz	REP	1	314	225	11	5	555	Y	
CARTERET	11/08/2022	HAIS	1366	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Barbara D. Gaskins	DEM	1	43	61	5	0	109	Y	
CARTERET	11/08/2022	ISPK	2	C	CARTERET COUNTY BOARD OF COMMISSIONERS DISTRICT 02	Chuck Shinn	REP	1	506	290	31	3	830	Y	
CARTERET	11/08/2022	ISPK	8	C	CARTERET COUNTY BOARD OF EDUCATION DISTRICT 06	Kathryn Smith Chadwick	REP	1	508	291	30	2	831	Y	
CARTERET	11/08/2022	ISPK	12	C	CARTERET SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	L.M. (Mickey) Simmons	 	2	377	274	34	2	687	Y	
CARTERET	11/08/2022	MASM	1282	S	NC STATE SENATE DISTRICT 01	Norman W. Sanderson	REP	1	194	108	2	2	306	Y	
CARTERET	11/08/2022	MCRK	6	C	CARTERET COUNTY BOARD OF EDUCATION DISTRICT 03	Clark Jenkins	REP	1	204	57	1	3	265	Y	
CARTERET	11/08/2022	MCRK	1378	S	US SENATE	Shannon W. Bray	LIB	1	2	1	0	0	3	Y	
CARTERET	11/08/2022	MCRK	1378	S	US SENATE	Write-In (Miscellaneous)		1	0	0	0	0	0	Y	
CARTERET	11/08/2022	MERR	1378	S	US SENATE	Write-In (Miscellaneous)		1	0	0	0	0	0	Y	
CARTERET	11/08/2022	MHD2	6	C	CARTERET COUNTY BOARD OF EDUCATION DISTRICT 03	Clark Jenkins	REP	1	542	452	34	3	1031	Y	
CARTERET	11/08/2022	MHD3	3	C	CARTERET COUNTY BOARD OF COMMISSIONERS DISTRICT 03	Mark Mansfield	REP	1	881	645	40	4	1570	Y	
CARTERET	11/08/2022	MHD3	12	C	CARTERET SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Write-In (Miscellaneous)		2	16	25	6	0	47	Y	
CARTERET	11/08/2022	MHD3	1041	S	NC COURT OF APPEALS JUDGE SEAT 10	Gale Murray Adams	DEM	1	252	290	47	2	591	Y	
CARTERET	11/08/2022	MHD3	1366	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Barbara D. Gaskins	DEM	1	242	289	46	2	579	Y	
CARTERET	11/08/2022	MHD4	3	C	CARTERET COUNTY BOARD OF COMMISSIONERS DISTRICT 03	Mark Mansfield	REP	1	671	790	31	3	1495	Y	
CARTERET	11/08/2022	MHD4	1041	S	NC COURT OF APPEALS JUDGE SEAT 10	Gale Murray Adams	DEM	1	165	311	35	2	513	Y	
CARTERET	11/08/2022	MHD4	1366	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Barbara D. Gaskins	DEM	1	152	306	36	2	496	Y	
CARTERET	11/08/2022	NPT1	7	C	CARTERET COUNTY BOARD OF EDUCATION DISTRICT 05	Brittany Wheatly	REP	1	619	699	17	4	1339	Y	
CARTERET	11/08/2022	NPT1	1039	S	NC COURT OF APPEALS JUDGE SEAT 08	Julee Tate Flood	REP	1	594	653	12	4	1263	Y	
CARTERET	11/08/2022	NPT1	1174	S	NC HOUSE OF REPRESENTATIVES DISTRICT 013	Katie Tomberlin	DEM	1	140	258	16	0	414	Y	
CARTERET	11/08/2022	NPT1	1334	S	NC SUPERIOR COURT JUDGE DISTRICT 03B SEAT 01	Bob Cherry	REP	1	630	711	15	4	1360	Y	
CATAWBA	11/08/2022	29	1373	S	US HOUSE OF REPRESENTATIVES DISTRICT 10	Diana R. Jimison (Write-In)		1	1	0	0	0	1	Y	
CATAWBA	11/08/2022	30	4	C	CATAWBA SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Phillip Keever (Write-In)		2	0	1	0	0	1	Y	
CATAWBA	11/08/2022	30	5	C	CATAWBA COUNTY SCHOOLS BOARD OF EDUCATION	Chris (Chopper) Fulbright	 	4	71	144	13	1	229	Y	
CATAWBA	11/08/2022	30	5	C	CATAWBA COUNTY SCHOOLS BOARD OF EDUCATION	Write-In (Miscellaneous)		4	8	2	0	0	10	Y	
CATAWBA	11/08/2022	30	1362	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 03	Richard Dietz	REP	1	452	639	40	2	1133	Y	
CATAWBA	11/08/2022	31	4	C	CATAWBA SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Phillip Keever (Write-In)		2	0	0	0	0	0	Y	
CATAWBA	11/08/2022	31	5	C	CATAWBA COUNTY SCHOOLS BOARD OF EDUCATION	Write-In (Miscellaneous)		4	14	17	1	0	32	Y	
CATAWBA	11/08/2022	31	1250	S	NC HOUSE OF REPRESENTATIVES DISTRICT 089	Mitchell Smith Setzer	REP	1	833	1508	52	3	2396	Y	
CATAWBA	11/08/2022	32	1132	S	NC DISTRICT COURT JUDGE DISTRICT 25 SEAT 01	David W. Aycock	REP	1	444	652	19	0	1115	Y	
CATAWBA	11/08/2022	32	1397	S	NC DISTRICT COURT JUDGE DISTRICT 25 SEAT 08 (UNEXPIRED)	Scott D. Conrad	REP	1	408	544	14	0	966	Y	
CATAWBA	11/08/2022	33	5	C	CATAWBA COUNTY SCHOOLS BOARD OF EDUCATION	Chris (Chopper) Fulbright	 	4	103	197	5	0	305	Y	
CATAWBA	11/08/2022	33	1136	S	NC DISTRICT COURT JUDGE DISTRICT 25 SEAT 05	Amy Sigmon Walker	REP	1	721	1017	28	4	1770	Y	
CATAWBA	11/08/2022	33	1362	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 03	Richard Dietz	REP	1	682	901	19	4	1606	Y	
CATAWBA	11/08/2022	34	1039	S	NC COURT OF APPEALS JUDGE SEAT 08	Carolyn Jennings Thompson	DEM	1	153	411	37	1	602	Y	
CATAWBA	11/08/2022	34	1042	S	NC COURT OF APPEALS JUDGE SEAT 11	Darren Jackson	DEM	1	156	411	36	1	604	Y	
CATAWBA	11/08/2022	34	1132	S	NC DISTRICT COURT JUDGE DISTRICT 25 SEAT 01	David W. Aycock	REP	1	817	1136	54	2	2009	Y	
CATAWBA	11/08/2022	35	1042	S	NC COURT OF APPEALS JUDGE SEAT 11	Darren Jackson	DEM	1	113	264	39	0	416	Y	
CATAWBA	11/08/2022	35	1132	S	NC DISTRICT COURT JUDGE DISTRICT 25 SEAT 01	David W. Aycock	REP	1	441	622	23	2	1088	Y	
CATAWBA	11/08/2022	35	1397	S	NC DISTRICT COURT JUDGE DISTRICT 25 SEAT 08 (UNEXPIRED)	Scott D. Conrad	REP	1	424	529	18	2	973	Y	
CATAWBA	11/08/2022	36	1355	S	NC SUPERIOR COURT JUDGE DISTRICT 25B SEAT 02	Gregory R. (Greg) Hayes	REP	1	485	555	50	0	1090	Y	
CATAWBA	11/08/2022	36	1373	S	US HOUSE OF REPRESENTATIVES DISTRICT 10	Write-In (Miscellaneous)		1	1	0	0	0	1	Y	
CATAWBA	11/08/2022	37	1	C	CATAWBA COUNTY BOARD OF COMMISSIONERS	Cole Setzer	REP	3	327	394	16	2	739	Y	
CATAWBA	11/08/2022	37	3	C	CATAWBA COUNTY SHERIFF	Don Brown	REP	1	396	486	25	4	911	Y	
CATAWBA	11/08/2022	37	4	C	CATAWBA SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Phillip Keever (Write-In)		2	0	0	0	0	0	Y	
CATAWBA	11/08/2022	37	5	C	CATAWBA COUNTY SCHOOLS BOARD OF EDUCATION	Tim Settlemyre	 	4	21	50	4	0	75	Y	
CATAWBA	11/08/2022	37	5	C	CATAWBA COUNTY SCHOOLS BOARD OF EDUCATION	Write-In (Miscellaneous)		4	4	0	0	0	4	Y	
