County	Election Date	Precinct	Contest Group ID	Contest Type	Contest Name	Choice	Choice Party	Vote For	Election Day	One Stop	Absentee by Mail	Provisional	Total Votes	Real Precinct	
COLUMBUS	11/08/2022	P17	7	C	COLUMBUS COUNTY SCHOOLS BOARD OF EDUCATION DISTRICT 02	Timothy Lance	 	1	136	159	7	1	303	Y	
COLUMBUS	11/08/2022	P17	9	C	COLUMBUS COUNTY SCHOOLS BOARD OF EDUCATION DISTRICT 04	Chris Worley	 	1	163	184	8	2	357	Y	
COLUMBUS	11/08/2022	P17	1362	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 03	Lucy Inman	DEM	1	147	247	7	2	403	Y	
COLUMBUS	11/08/2022	P17	1363	S	NC SUPREME COURT ASSOCIATE JUSTICE SEAT 05	Sam J. Ervin IV	DEM	1	150	249	10	2	411	Y	
COLUMBUS	11/08/2022	P19	11	C	WHITEVILLE CITY SCHOOLS BOARD OF EDUCATION DISTRICT 01	Write-In (Miscellaneous)		1	3	2	0	0	5	Y	
COLUMBUS	11/08/2022	P19	1040	S	NC COURT OF APPEALS JUDGE SEAT 09	Brad A. Salmon	DEM	1	168	463	35	0	666	Y	
COLUMBUS	11/08/2022	P19	1378	S	US SENATE	Write-In (Miscellaneous)		1	0	1	0	0	1	Y	
COLUMBUS	11/08/2022	P20A	6	C	COLUMBUS SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Write-In (Miscellaneous)		2	1	1	0	0	2	Y	
COLUMBUS	11/08/2022	P20A	10	C	WHITEVILLE CITY SCHOOLS BOARD OF EDUCATION AT-LARGE	R. Byron Fisher	 	1	40	44	1	0	85	Y	
COLUMBUS	11/08/2022	P20A	1079	S	NC DISTRICT COURT JUDGE DISTRICT 13 SEAT 02	Bryan Wilson	REP	1	64	66	1	0	131	Y	
COLUMBUS	11/08/2022	P22A	6	C	COLUMBUS SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Frank Galloway	 	2	238	287	9	4	538	Y	
COLUMBUS	11/08/2022	P22A	7	C	COLUMBUS COUNTY SCHOOLS BOARD OF EDUCATION DISTRICT 02	Ronnie Strickland	 	1	10	11	0	0	21	Y	
COLUMBUS	11/08/2022	P22A	8	C	COLUMBUS COUNTY SCHOOLS BOARD OF EDUCATION DISTRICT 03	Frankye Boone	 	1	2	1	0	0	3	Y	
CLEVELAND	11/08/2022	CASAR	1	C	CLEVELAND COUNTY BOARD OF COMMISSIONERS	Doug Bridges	REP	2	536	93	5	2	636	Y	
CLEVELAND	11/08/2022	CASAR	5	C	CLEVELAND SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	George Patterson (Write-In)		2	0	0	0	0	0	Y	
CLEVELAND	11/08/2022	CASAR	1378	S	US SENATE	Shannon W. Bray	LIB	1	11	0	1	0	12	Y	
CLEVELAND	11/08/2022	CASAR	1378	S	US SENATE	Write-In (Miscellaneous)		1	1	0	0	0	1	Y	
CLEVELAND	11/08/2022	FALSTN	1	C	CLEVELAND COUNTY BOARD OF COMMISSIONERS	Deb Hardin	REP	2	422	149	10	4	585	Y	
CLEVELAND	11/08/2022	FALSTN	5	C	CLEVELAND SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Malarie Thompson	 	2	195	63	7	1	266	Y	
CLEVELAND	11/08/2022	FALSTN	1378	S	US SENATE	Matthew Hoh	GRE	1	1	3	0	0	4	Y	
CLEVELAND	11/08/2022	GROVER	2	C	CLEVELAND COUNTY BOARD OF EDUCATION	Meghan Hoppes	DEM	4	174	154	13	2	343	Y	
CLEVELAND	11/08/2022	GROVER	5	C	CLEVELAND SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Malarie Thompson	 	2	344	225	11	1	581	Y	
CLEVELAND	11/08/2022	GROVER	1373	S	US HOUSE OF REPRESENTATIVES DISTRICT 10	Write-In (Miscellaneous)		1	0	0	0	0	0	Y	
CLEVELAND	11/08/2022	GROVER	1378	S	US SENATE	Matthew Hoh	GRE	1	5	3	1	0	9	Y	
CLEVELAND	11/08/2022	KINGST	2	C	CLEVELAND COUNTY BOARD OF EDUCATION	Walter Scott Spurling	REP	4	73	68	2	0	143	Y	
CLEVELAND	11/08/2022	KINGST	1041	S	NC COURT OF APPEALS JUDGE SEAT 10	John M. Tyson	REP	1	89	87	2	0	178	Y	
CLEVELAND	11/08/2022	KM N	2	C	CLEVELAND COUNTY BOARD OF EDUCATION	Danny Lee Blanton	REP	4	530	811	28	6	1375	Y	
CLEVELAND	11/08/2022	KM N	2	C	CLEVELAND COUNTY BOARD OF EDUCATION	Dena Green	DEM	4	229	485	63	2	779	Y	
CLEVELAND	11/08/2022	KM N	6	C	CLEVELAND COUNTY LOCAL SALES AND USE TAX REFERENDUM	For	 	1	169	275	42	1	487	Y	
CLEVELAND	11/08/2022	KM N	1373	S	US HOUSE OF REPRESENTATIVES DISTRICT 10	Patrick McHenry	REP	1	611	921	31	5	1568	Y	
CLEVELAND	11/08/2022	KM N	1378	S	US SENATE	Matthew Hoh	GRE	1	8	4	6	0	18	Y	
CLEVELAND	11/08/2022	KM S	2	C	CLEVELAND COUNTY BOARD OF EDUCATION	Danny Lee Blanton	REP	4	567	621	25	3	1216	Y	
CLEVELAND	11/08/2022	KM S	2	C	CLEVELAND COUNTY BOARD OF EDUCATION	Dena Green	DEM	4	261	417	40	3	721	Y	
CLEVELAND	11/08/2022	KM S	5	C	CLEVELAND SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Write-In (Miscellaneous)		2	21	14	0	0	35	Y	
CLEVELAND	11/08/2022	KM S	1378	S	US SENATE	Matthew Hoh	GRE	1	5	6	1	0	12	Y	
CLEVELAND	11/08/2022	LATT	5	C	CLEVELAND SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR	Sherry Greene	 	2	381	409	16	4	810	Y	
CLEVELAND	11/08/2022	LATT	1034	S	DISTRICT ATTORNEY DISTRICT 39	Mike Miller	REP	1	594	571	26	5	1196	Y	
